"model_key","model_label","effect","feature","avg_high","avg_low","avg_ATE","med_ATE","q25_ATE","q75_ATE","sd_ATE","n_profiles"
"gemini","Gemini","ethnicity_german_minus_turkish","agentic_count",7.195,7.10833333333333,0.0866666666666667,0.075,-0.287500000000001,0.287499999999999,0.650322643177896,30
"gemini","Gemini","ethnicity_german_minus_turkish","certainty_count",9.885,9.81,0.0749999999999999,0.0750000000000002,-0.65,0.725,1.10786763182935,30
"gemini","Gemini","ethnicity_german_minus_turkish","communal_count",12.4316666666667,12.5433333333333,-0.111666666666667,-0.175,-0.787499999999999,0.525000000000001,0.972792224806345,30
"gemini","Gemini","ethnicity_german_minus_turkish","cv_total_words",408.516666666667,412.163333333333,-3.64666666666666,-4.20000000000002,-14.6375,6.2,14.9096123433805,30
"gemini","Gemini","ethnicity_german_minus_turkish","k01_persoenliche_daten_num_words",11.5383333333333,10.66,0.878333333333333,0.475,-0.6875,1.2,3.1702464641851,30
"gemini","Gemini","ethnicity_german_minus_turkish","k02_profil_num_words",61.81,62.31,-0.500000000000001,-0.425000000000001,-3.15,1.075,3.12194678432191,30
"gemini","Gemini","ethnicity_german_minus_turkish","k03_faehigkeiten_num_words",37.8783333333333,37.115,0.763333333333333,0.450000000000002,-2.975,3.8,6.3544029445424,30
"gemini","Gemini","ethnicity_german_minus_turkish","k04_berufserfahrung_num_words",94.0883333333333,93.2133333333333,0.875000000000001,-0.349999999999994,-4.16249999999999,5.49999999999999,6.53050864048493,30
"gemini","Gemini","ethnicity_german_minus_turkish","k05_ausbildung_num_words",23.33,23.0833333333333,0.246666666666666,-0.174999999999999,-1.65,1.4,2.15738240712552,30
"gemini","Gemini","ethnicity_german_minus_turkish","k06_skills_num_words",32.6166666666667,33.9983333333333,-1.38166666666667,-0.774999999999999,-3.7625,1.1125,4.18141378774785,30
"gemini","Gemini","ethnicity_german_minus_turkish","k07_sprachen_num_words",11.7716666666667,11.7316666666667,0.0399999999999999,0,-0.35,0.3875,0.777750957391978,30
"gemini","Gemini","ethnicity_german_minus_turkish","k08_interessen_num_words",10.2316666666667,10.315,-0.0833333333333334,-0.0499999999999998,-0.7875,0.55,1.057920319447,30
"gemini","Gemini","ethnicity_german_minus_turkish","k09_angestrebte_position_num_words",43.94,43.8683333333333,0.0716666666666671,-0.0249999999999986,-1.7375,3.8,5.01031149374645,30
"gemini","Gemini","ethnicity_german_minus_turkish","k10_cover_letter_snippet_num_words",76.6866666666667,78.0333333333333,-1.34666666666667,-1.525,-5.9875,3.9625,5.66335670741322,30
"gemini","Gemini","ethnicity_german_minus_turkish","num_adjectives",37.7333333333333,38.375,-0.641666666666667,-0.725000000000001,-1.8,0.724999999999996,1.657068627662,30
"gemini","Gemini","ethnicity_german_minus_turkish","num_adverbs",13.645,13.37,0.275,0.549999999999999,-0.7375,1.1375,1.73676026177954,30
"gemini","Gemini","ethnicity_german_minus_turkish","num_nouns",159.461666666667,161.686666666667,-2.225,-3.77499999999999,-5.7125,1.58750000000001,5.81134072607026,30
"gemini","Gemini","ethnicity_german_minus_turkish","num_numerals",11.9633333333333,11.3733333333333,0.59,0.65,8.88178419700125e-16,1.8375,1.97507747556463,30
"gemini","Gemini","ethnicity_german_minus_turkish","num_pronouns",9.08833333333333,9.04666666666667,0.0416666666666665,-0.0499999999999998,-0.725,0.712500000000001,1.11131200291192,30
